Name,ISIN,Symbol,Market,Currency,Turnover,MIC
SPEED RABBIT PIZZA,FR0000054371,MLSRP,Euronext Access Paris,EUR,1989.00,XMLI
SPIE,FR0012757854,SPIE,Euronext Paris,EUR,12902195.50,XPAR
SPINDOX,IT0005449522,SPN,Euronext Growth Milan,EUR,28840.00,EXGM
SPINEGUARD,FR0011464452,ALSGD,Euronext Growth Paris,EUR,26151.6975,ALXP
SPINEWAY,FR001400N2P2,ALSPW,Euronext Growth Paris,EUR,89041.9036,ALXP
SPIR GROUP,NO0012548819,SPIR,Oslo Børs,NOK,264871.20,XOSL
SPORTING,PTSCP0AM0001,SCP,Euronext Lisbon,EUR,97.00,XLIS
SPOTIFY TECHNOLOGY,LU1778762911,4SPOT,EuroTLX,EUR,6238.00,ETLX
SPOTLIO,NO0010781560,SPOT,Euronext Growth Oslo,NOK,102.74,MERK
ST DUPONT,FR0000054199,DPT,Euronext Paris,EUR,2.0855,XPAR
ST GOBAIN IMB,BE0003279784,-,Euronext Expert Market,EUR,-,VPXB
ST-PIETERS-LEEUW,BE0014199377,-,Euronext Expert Market,EUR,30.36,VPXB
STAINLESS TANKERS,NO0012780958,STST,Euronext Growth Oslo,NOK,90996.80,MERK
STANDARDCOIN,NO0013384651,SCOIN,Euronext Growth Oslo,NOK,586868.50,MERK
STAR7,IT0005466195,STAR7,Euronext Growth Milan,EUR,3025.00,EXGM
STARBUCKS CORP,US8552441094,4SBUX,EuroTLX,EUR,3490.20,ETLX
